city,province,date,year,month,fuel_price,units
Montréal,Quebec,2015-05-01,2015,5,125,Cents per litre
Ottawa-Gatineau,Ontario,2015-05-01,2015,5,109.8,Cents per litre
Toronto,Ontario,2015-05-01,2015,5,112.6,Cents per litre
Thunder Bay,Ontario,2015-05-01,2015,5,111.9,Cents per litre
Winnipeg,Manitoba,2015-05-01,2015,5,97.8,Cents per litre
Regina,Saskatchewan,2015-05-01,2015,5,101.5,Cents per litre
Saskatoon,Saskatchewan,2015-05-01,2015,5,100.4,Cents per litre
Edmonton,Alberta,2015-05-01,2015,5,94.4,Cents per litre
Calgary,Alberta,2015-05-01,2015,5,100.2,Cents per litre
Vancouver,British Columbia,2015-05-01,2015,5,133,Cents per litre
Victoria,British Columbia,2015-05-01,2015,5,124.6,Cents per litre
Whitehorse,Yukon,2015-05-01,2015,5,112.3,Cents per litre
Yellowknife,Northwest Territories,2015-05-01,2015,5,119.4,Cents per litre
St. John's,Newfoundland and Labrador,2015-06-01,2015,6,123.2,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2015-06-01,2015,6,118.7,Cents per litre
Halifax,Nova Scotia,2015-06-01,2015,6,119.7,Cents per litre
Saint John,New Brunswick,2015-06-01,2015,6,117.3,Cents per litre
Québec,Quebec,2015-06-01,2015,6,120.3,Cents per litre
Montréal,Quebec,2015-06-01,2015,6,129.9,Cents per litre
Ottawa-Gatineau,Ontario,2015-06-01,2015,6,115.6,Cents per litre
Toronto,Ontario,2015-06-01,2015,6,118.1,Cents per litre
Thunder Bay,Ontario,2015-06-01,2015,6,118.8,Cents per litre
Winnipeg,Manitoba,2015-06-01,2015,6,107.8,Cents per litre
Regina,Saskatchewan,2015-06-01,2015,6,112.2,Cents per litre
Saskatoon,Saskatchewan,2015-06-01,2015,6,111.3,Cents per litre
Edmonton,Alberta,2015-06-01,2015,6,104.4,Cents per litre
Calgary,Alberta,2015-06-01,2015,6,111,Cents per litre
Vancouver,British Columbia,2015-06-01,2015,6,135.1,Cents per litre
Victoria,British Columbia,2015-06-01,2015,6,126.8,Cents per litre
Whitehorse,Yukon,2015-06-01,2015,6,117.7,Cents per litre
Yellowknife,Northwest Territories,2015-06-01,2015,6,128.9,Cents per litre
St. John's,Newfoundland and Labrador,2015-07-01,2015,7,121.9,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2015-07-01,2015,7,119.1,Cents per litre
Halifax,Nova Scotia,2015-07-01,2015,7,117.9,Cents per litre
Saint John,New Brunswick,2015-07-01,2015,7,116.6,Cents per litre
Québec,Quebec,2015-07-01,2015,7,122.7,Cents per litre
Montréal,Quebec,2015-07-01,2015,7,127,Cents per litre
Ottawa-Gatineau,Ontario,2015-07-01,2015,7,119,Cents per litre
Toronto,Ontario,2015-07-01,2015,7,121,Cents per litre
Thunder Bay,Ontario,2015-07-01,2015,7,122.6,Cents per litre
Winnipeg,Manitoba,2015-07-01,2015,7,104.1,Cents per litre
Regina,Saskatchewan,2015-07-01,2015,7,109.1,Cents per litre
Saskatoon,Saskatchewan,2015-07-01,2015,7,109.7,Cents per litre
Edmonton,Alberta,2015-07-01,2015,7,103.7,Cents per litre
Calgary,Alberta,2015-07-01,2015,7,109.5,Cents per litre
Vancouver,British Columbia,2015-07-01,2015,7,135.5,Cents per litre
Victoria,British Columbia,2015-07-01,2015,7,128.2,Cents per litre
Whitehorse,Yukon,2015-07-01,2015,7,118.9,Cents per litre
Yellowknife,Northwest Territories,2015-07-01,2015,7,133.9,Cents per litre
St. John's,Newfoundland and Labrador,2015-08-01,2015,8,113.8,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2015-08-01,2015,8,113.8,Cents per litre
Halifax,Nova Scotia,2015-08-01,2015,8,110.6,Cents per litre
Saint John,New Brunswick,2015-08-01,2015,8,109.3,Cents per litre
Québec,Quebec,2015-08-01,2015,8,115.4,Cents per litre
Montréal,Quebec,2015-08-01,2015,8,119.8,Cents per litre
Ottawa-Gatineau,Ontario,2015-08-01,2015,8,110.6,Cents per litre
Toronto,Ontario,2015-08-01,2015,8,113,Cents per litre
Thunder Bay,Ontario,2015-08-01,2015,8,129.2,Cents per litre
Winnipeg,Manitoba,2015-08-01,2015,8,108.7,Cents per litre
Regina,Saskatchewan,2015-08-01,2015,8,113.1,Cents per litre
Saskatoon,Saskatchewan,2015-08-01,2015,8,116.3,Cents per litre
Edmonton,Alberta,2015-08-01,2015,8,107.6,Cents per litre
Calgary,Alberta,2015-08-01,2015,8,113.2,Cents per litre
Vancouver,British Columbia,2015-08-01,2015,8,130.6,Cents per litre
Victoria,British Columbia,2015-08-01,2015,8,124.7,Cents per litre
Whitehorse,Yukon,2015-08-01,2015,8,124.9,Cents per litre
Yellowknife,Northwest Territories,2015-08-01,2015,8,134.2,Cents per litre
St. John's,Newfoundland and Labrador,2015-09-01,2015,9,106.9,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2015-09-01,2015,9,103.6,Cents per litre
Halifax,Nova Scotia,2015-09-01,2015,9,101.8,Cents per litre
Saint John,New Brunswick,2015-09-01,2015,9,103,Cents per litre
Québec,Quebec,2015-09-01,2015,9,111.9,Cents per litre
Montréal,Quebec,2015-09-01,2015,9,113.7,Cents per litre
Ottawa-Gatineau,Ontario,2015-09-01,2015,9,101.7,Cents per litre
Toronto,Ontario,2015-09-01,2015,9,105.2,Cents per litre
Thunder Bay,Ontario,2015-09-01,2015,9,120.9,Cents per litre
Winnipeg,Manitoba,2015-09-01,2015,9,99.2,Cents per litre
Regina,Saskatchewan,2015-09-01,2015,9,101.9,Cents per litre
Saskatoon,Saskatchewan,2015-09-01,2015,9,102.5,Cents per litre
Edmonton,Alberta,2015-09-01,2015,9,95.4,Cents per litre
Calgary,Alberta,2015-09-01,2015,9,101,Cents per litre
Vancouver,British Columbia,2015-09-01,2015,9,118.2,Cents per litre
Victoria,British Columbia,2015-09-01,2015,9,114.1,Cents per litre
Whitehorse,Yukon,2015-09-01,2015,9,119.9,Cents per litre
Yellowknife,Northwest Territories,2015-09-01,2015,9,123.3,Cents per litre
St. John's,Newfoundland and Labrador,2015-10-01,2015,10,103.2,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2015-10-01,2015,10,100.2,Cents per litre
Halifax,Nova Scotia,2015-10-01,2015,10,98.3,Cents per litre
Saint John,New Brunswick,2015-10-01,2015,10,97.6,Cents per litre
Québec,Quebec,2015-10-01,2015,10,103.7,Cents per litre
Montréal,Quebec,2015-10-01,2015,10,111.8,Cents per litre
Ottawa-Gatineau,Ontario,2015-10-01,2015,10,98.2,Cents per litre
Toronto,Ontario,2015-10-01,2015,10,100.8,Cents per litre
Thunder Bay,Ontario,2015-10-01,2015,10,118.6,Cents per litre
Winnipeg,Manitoba,2015-10-01,2015,10,103.6,Cents per litre
Regina,Saskatchewan,2015-10-01,2015,10,103.7,Cents per litre
Saskatoon,Saskatchewan,2015-10-01,2015,10,104.1,Cents per litre
Edmonton,Alberta,2015-10-01,2015,10,98,Cents per litre
Calgary,Alberta,2015-10-01,2015,10,104.8,Cents per litre
Vancouver,British Columbia,2015-10-01,2015,10,116.6,Cents per litre
Victoria,British Columbia,2015-10-01,2015,10,108.7,Cents per litre
Whitehorse,Yukon,2015-10-01,2015,10,119.8,Cents per litre
Yellowknife,Northwest Territories,2015-10-01,2015,10,127.2,Cents per litre
St. John's,Newfoundland and Labrador,2015-11-01,2015,11,103.1,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2015-11-01,2015,11,98,Cents per litre
Halifax,Nova Scotia,2015-11-01,2015,11,99.1,Cents per litre
Saint John,New Brunswick,2015-11-01,2015,11,97.8,Cents per litre
Québec,Quebec,2015-11-01,2015,11,104.5,Cents per litre
Montréal,Quebec,2015-11-01,2015,11,110.9,Cents per litre
Ottawa-Gatineau,Ontario,2015-11-01,2015,11,100.5,Cents per litre
Toronto,Ontario,2015-11-01,2015,11,103,Cents per litre
Thunder Bay,Ontario,2015-11-01,2015,11,116.8,Cents per litre
Winnipeg,Manitoba,2015-11-01,2015,11,98.4,Cents per litre
Regina,Saskatchewan,2015-11-01,2015,11,101.3,Cents per litre
Saskatoon,Saskatchewan,2015-11-01,2015,11,99.7,Cents per litre
Edmonton,Alberta,2015-11-01,2015,11,89.1,Cents per litre
Calgary,Alberta,2015-11-01,2015,11,99.7,Cents per litre
Vancouver,British Columbia,2015-11-01,2015,11,124.7,Cents per litre
Victoria,British Columbia,2015-11-01,2015,11,116.3,Cents per litre
Whitehorse,Yukon,2015-11-01,2015,11,114.3,Cents per litre
Yellowknife,Northwest Territories,2015-11-01,2015,11,119.7,Cents per litre
St. John's,Newfoundland and Labrador,2015-12-01,2015,12,98,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2015-12-01,2015,12,97.5,Cents per litre
Halifax,Nova Scotia,2015-12-01,2015,12,96.9,Cents per litre
Saint John,New Brunswick,2015-12-01,2015,12,97,Cents per litre
Québec,Quebec,2015-12-01,2015,12,102.3,Cents per litre
Montréal,Quebec,2015-12-01,2015,12,109,Cents per litre
Ottawa-Gatineau,Ontario,2015-12-01,2015,12,96,Cents per litre
Toronto,Ontario,2015-12-01,2015,12,100.4,Cents per litre
Thunder Bay,Ontario,2015-12-01,2015,12,108.6,Cents per litre
Winnipeg,Manitoba,2015-12-01,2015,12,86.6,Cents per litre
Regina,Saskatchewan,2015-12-01,2015,12,88.5,Cents per litre
Saskatoon,Saskatchewan,2015-12-01,2015,12,87.6,Cents per litre
Edmonton,Alberta,2015-12-01,2015,12,81.5,Cents per litre
Calgary,Alberta,2015-12-01,2015,12,86.2,Cents per litre
Vancouver,British Columbia,2015-12-01,2015,12,122.9,Cents per litre
Victoria,British Columbia,2015-12-01,2015,12,113.9,Cents per litre
Whitehorse,Yukon,2015-12-01,2015,12,101.2,Cents per litre
Yellowknife,Northwest Territories,2015-12-01,2015,12,112.4,Cents per litre
St. John's,Newfoundland and Labrador,2016-01-01,2016,1,93,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2016-01-01,2016,1,93.1,Cents per litre
Halifax,Nova Scotia,2016-01-01,2016,1,93.6,Cents per litre
Saint John,New Brunswick,2016-01-01,2016,1,92.6,Cents per litre
Québec,Quebec,2016-01-01,2016,1,97.9,Cents per litre
Montréal,Quebec,2016-01-01,2016,1,102.4,Cents per litre
Ottawa-Gatineau,Ontario,2016-01-01,2016,1,86.9,Cents per litre
Toronto,Ontario,2016-01-01,2016,1,95.7,Cents per litre
Thunder Bay,Ontario,2016-01-01,2016,1,98,Cents per litre
Winnipeg,Manitoba,2016-01-01,2016,1,83.2,Cents per litre
Regina,Saskatchewan,2016-01-01,2016,1,80.5,Cents per litre
Saskatoon,Saskatchewan,2016-01-01,2016,1,77.7,Cents per litre
Edmonton,Alberta,2016-01-01,2016,1,73.3,Cents per litre
Calgary,Alberta,2016-01-01,2016,1,80.3,Cents per litre
Vancouver,British Columbia,2016-01-01,2016,1,110.7,Cents per litre
Victoria,British Columbia,2016-01-01,2016,1,103.7,Cents per litre
Whitehorse,Yukon,2016-01-01,2016,1,98.2,Cents per litre
Yellowknife,Northwest Territories,2016-01-01,2016,1,107.3,Cents per litre
St. John's,Newfoundland and Labrador,2016-02-01,2016,2,89.7,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2016-02-01,2016,2,86.7,Cents per litre
Halifax,Nova Scotia,2016-02-01,2016,2,86.2,Cents per litre
Saint John,New Brunswick,2016-02-01,2016,2,86.9,Cents per litre
Québec,Quebec,2016-02-01,2016,2,90.1,Cents per litre
Montréal,Quebec,2016-02-01,2016,2,98.1,Cents per litre
Ottawa-Gatineau,Ontario,2016-02-01,2016,2,85.1,Cents per litre
Toronto,Ontario,2016-02-01,2016,2,89.8,Cents per litre
Thunder Bay,Ontario,2016-02-01,2016,2,87.1,Cents per litre
Winnipeg,Manitoba,2016-02-01,2016,2,74.7,Cents per litre
Regina,Saskatchewan,2016-02-01,2016,2,72.5,Cents per litre
Saskatoon,Saskatchewan,2016-02-01,2016,2,74,Cents per litre
Edmonton,Alberta,2016-02-01,2016,2,63.1,Cents per litre
Calgary,Alberta,2016-02-01,2016,2,73.5,Cents per litre
Vancouver,British Columbia,2016-02-01,2016,2,105.9,Cents per litre
Victoria,British Columbia,2016-02-01,2016,2,98.1,Cents per litre
Whitehorse,Yukon,2016-02-01,2016,2,90.8,Cents per litre
Yellowknife,Northwest Territories,2016-02-01,2016,2,96.5,Cents per litre
St. John's,Newfoundland and Labrador,2016-03-01,2016,3,89.3,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2016-03-01,2016,3,88.2,Cents per litre
Halifax,Nova Scotia,2016-03-01,2016,3,87.3,Cents per litre
Saint John,New Brunswick,2016-03-01,2016,3,86.2,Cents per litre
Québec,Quebec,2016-03-01,2016,3,96.4,Cents per litre
Montréal,Quebec,2016-03-01,2016,3,97.7,Cents per litre
Ottawa-Gatineau,Ontario,2016-03-01,2016,3,90.6,Cents per litre
Toronto,Ontario,2016-03-01,2016,3,92.5,Cents per litre
Thunder Bay,Ontario,2016-03-01,2016,3,98.9,Cents per litre
Winnipeg,Manitoba,2016-03-01,2016,3,85,Cents per litre
Regina,Saskatchewan,2016-03-01,2016,3,86.9,Cents per litre
Saskatoon,Saskatchewan,2016-03-01,2016,3,84.4,Cents per litre
Edmonton,Alberta,2016-03-01,2016,3,78.1,Cents per litre
Calgary,Alberta,2016-03-01,2016,3,84.6,Cents per litre
Vancouver,British Columbia,2016-03-01,2016,3,112.9,Cents per litre
Victoria,British Columbia,2016-03-01,2016,3,105.9,Cents per litre
Whitehorse,Yukon,2016-03-01,2016,3,94.7,Cents per litre
Yellowknife,Northwest Territories,2016-03-01,2016,3,104.4,Cents per litre
St. John's,Newfoundland and Labrador,2016-04-01,2016,4,101.5,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2016-04-01,2016,4,99.9,Cents per litre
Halifax,Nova Scotia,2016-04-01,2016,4,100.3,Cents per litre
Saint John,New Brunswick,2016-04-01,2016,4,96.8,Cents per litre
Québec,Quebec,2016-04-01,2016,4,101.7,Cents per litre
Montréal,Quebec,2016-04-01,2016,4,109.4,Cents per litre
Ottawa-Gatineau,Ontario,2016-04-01,2016,4,99.8,Cents per litre
Toronto,Ontario,2016-04-01,2016,4,102.3,Cents per litre
Thunder Bay,Ontario,2016-04-01,2016,4,103.6,Cents per litre
Winnipeg,Manitoba,2016-04-01,2016,4,90.3,Cents per litre
Regina,Saskatchewan,2016-04-01,2016,4,88.2,Cents per litre
Saskatoon,Saskatchewan,2016-04-01,2016,4,90.4,Cents per litre
Edmonton,Alberta,2016-04-01,2016,4,83.7,Cents per litre
Calgary,Alberta,2016-04-01,2016,4,90.4,Cents per litre
Vancouver,British Columbia,2016-04-01,2016,4,114.7,Cents per litre
Victoria,British Columbia,2016-04-01,2016,4,105.9,Cents per litre
Whitehorse,Yukon,2016-04-01,2016,4,99.8,Cents per litre
Yellowknife,Northwest Territories,2016-04-01,2016,4,108.4,Cents per litre
St. John's,Newfoundland and Labrador,2016-05-01,2016,5,104.3,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2016-05-01,2016,5,103.2,Cents per litre
Halifax,Nova Scotia,2016-05-01,2016,5,102.7,Cents per litre
Saint John,New Brunswick,2016-05-01,2016,5,100.3,Cents per litre
